hanzi,pinyin,definition 
粷,jú,
絨,róng,"silk, cotton, or woolen fabric"
絹,juàn,kind of thick stiff silk
緷,yùn,
緻,zhì,"delicate, fine; dense"
繉,hún,
繙,fān,"to interpret; to flap, flutter in the wind"
罁,gāng,a cistern; an earthenware jar of large dimensions; a vat; a crock
羅,luó,net for catching birds; gauze
羇,jī,inn; lodge; travel
聣,ní,
聰,cōng,"intelligent, clever, bright"
脙,xiū,
脛,jìng,shinbone; calf of leg
脻,jiē,
脼,liǎng,
腗,pí,
艜,dài,a long narrow vessel with two masts; (Cant.) a rudder
萊,lái,"goosefoot, weed; fallow field"
葘,zī,
葢,gài,"cover, hide, protect"
蔥,cōng,"scallions, onions, leeks"
藍,lán,blue; indigo plant; surname
藘,lǘ,madder
藝,yì,"art; talent, ability; craft"
蘿,luó,type of creeping plant; turnip
蛬,qióng,
螁,ban,
螚,nài,
螤,zhōng,
袇,rán,
袌,bào,
袔,hè,
袦,nà,
袨,xuàn,
覂,fěng,to throw a rider
訃,fù,obituary; give notice of death
訋,diào,
詫,chà,to brag; exaggerated; to wonder at
詬,gòu,"abuse, scold, berate, insult"
詮,quán,"explain, expound, comment on"
詻,è,orders
誠,chéng,"sincere, honest; true, real"
謬,miù,"error, exaggeration; erroneous"
譃,xū,
譄,zēng,
譯,yì,translate; decode; encode
譽,yù,"fame, reputation; praise"
賰,chǔn,"plentiful, wealthy or rich; handsome (pay, gifts, etc.)"
趮,zào,"easily provoked, hasty; fierce, cruel"
蹱,zhōng,to stagger along; to fall
軙,chén,a Chinese family name to arrange; to display wheel
軠,rèn,
輩,bèi,"generation, lifetime; class"
辭,cí,"words, speech, expression, phrase"
遜,xùn,"humble, modest; yield"
鄧,dèng,surname
鄫,zēng,
鄿,jī,county in Xinjiang province
酀,yàn,
釡,fǔ,"cauldron, pot, kettle"
釢,nǎi,
鉃,shì,
鍍,dù,"plate, coat, gild"
鍎,tú,
鎖,suǒ,"lock, padlock; shackles, chains"
闃,qù,"alone; quiet, still"
鞗,tiáo,reins
韱,xiān,wild onions or leeks
頹,tuí,"ruined, decayed; disintegrate"
願,yuàn,"desire, want; wish; ambition"
顳,niè,the temporal bone
餁,rèn,cooked food; cook until well done
餃,jiǎo,stuffed dumplings
餵,wèi,"to feed, to raise"
馮,féng,surname; gallop; by dint of
馳,chí,go quickly or swiftly; hurry
駛,shǐ,"sail, drive, pilot; fast, quick"
騎,qí,ride horseback; mount; cavalry
騺,zhì,heavy horse; horse unable to move because of twisted leg; plodding
鯚,jì,
鰟,fáng,
鱉,biē,turtle
鳛,xí,"the weather or dojo loach, Misgurnus anguillicaudatus"
鴟,chī,"kite, horned owl; wine cups"
鴮,wū,
鴲,zhī,
鴷,liè,a woodpecker
鷷,zūn,
鸀,chǔ,
麎,chén,
麡,qí,
麧,hé,
鼇,áo,huge sea turtle
鼞,tāng,
鼤,wén,
齺,zōu,
齽,jìn,
龑,yǎn,high and bright
裏,,"inside, interior, within"
䦶,zhèng,(simplified form of 䦛) to struggle; struggle; to strive
䲡,qiū,(simplified form 鰍) loach
砮,nǔ,arrow-tip
綟,lì,
緜,mián,"cotton wad; wool; soft, downy"
繑,qiāo,
纑,lú,to soften hemp by boiling; thread
罈,tán,"an earthenware jar, a jug"
蠙,pín,oyster
輴,chūn,sled
酨,zài,
鏂,ōu,
駹,máng,black horse with a white face
鎪,sōu,to engrave (metal of wood)
瞕,zhàng,cataract in the eye
窪,wā,hollow; pit; depression; swamp
肻,kěn,
蠔,háo,oyster
鐰,qiāo,
綵,cǎi,varicolored silk; variegated
鮰,huí,a small sturgeon found in the Yangzi; catfish
鳾,shī,general term for a group of small birds
虰,dīng,
驎,lín,
荬,mǎi,a plant name
鑛,kuàng,"mine; mineral, ore"
犏,piān,yak-ox
鞧,qiū,a leather strap
鮋,yóu,
鰷,tiáo,minnow
鶲,wēng,
盕,fàn,
盩,zhōu,callus
盻,xì,glare; stare
眖,kuàng,
砛,jin,
硈,qià,
禢,tà,surname
禥,qí,
窼,zhāo,
竏,qian,kiloliter
筈,kuò,arrow end
筽,o,
篴,dí,bamboo flute; whistle
籆,yuè,
籇,háo,
紏,tǒu,
肣,hán,
胑,zhī,the limbs; the upper arm; wings of birds; legs of animals
臮,jì,
苲,zhǎ,
蒃,zhuàn,
虗,xū,
蜌,bì,
跘,pán,
鞦,qiū,leather stap; swing
驄,cōng,horse with a bluish white color
鷭,fán,
鸼,zhōu,
鹐,qiān,"to peck, as birds"
矄,xūn,
魖,xū,
鴐,gē,
薀,yùn,
謏,xiǎo,"scold, censure; lead people toward virtuous ways; small, little"
脎,sà,an organic compound
締,dì,"tie, join, connect; connection"
聧,kuī,
脜,yǒu,
艤,yǐ,to moor a boat to the bank
荖,lǎo,betel pepper
蕌,lěi,
蠷,qú,
褏,xiù,sleeve; ample flowing robes
觽,xī,
踫,pèng,"collide, bump into"
蹽,liāo,
軉,yù,
軛,è,"yoke, collar; to restrain"
墚,liáng,mountain range
搌,zhǎn,to wipe tears; to bind
擗,pǐ,to beat the breast
哳,zhā,
鋻,jiàn,
楗,jiàn,"bar of door, bolt of lock"
韂,chàn,a saddle-flap. trappings
飆,biāo,"whirlwind, stormy gale"
饏,dàn,
耥,tāng,farm tool
髼,péng,
篼,dōu,mountain sedan chair; (Cant.) a simple container without a cover
鬑,lián,"long, flowing hair"
醑,xǔ,to strain spirits
鴧,ròng,
眜,mò,
瞷,jiàn,
磦,biāo,
礨,lěi,
祃,mà,a sacrifice at the beginning of a military campaign
祲,jìn,ominous or sinister spirit; vigor
祻,gù,
窊,wā,"pit, vault; store in pit; (Cant.) 手窊, the arm"
簥,jiāo,a large pipe; a farm tool
籲,yù,appeal; request; implore
縢,téng,"bind, tie up, restrain; cord"
繌,sha,
繒,zēng,silk fabrics; surname
聜,dǐ,
胔,zì,rotten meat; bones of dead animals
胾,zì,minced meat; to cut meat into pieces
脨,cù,
膼,zhuā,
艕,bàng,two boats fastened side by side
苼,shēng,
莻,gòng,late
蓨,tiáo,
蓵,jié,
蓾,lǔ,
藦,mò,edible mushrooms
虀,jī,minced pickles; leeks; mix; salt
蚈,qiān,
蛡,yì,
蛻,tuì,"molt, exuviate, shed"
蝝,yuán,the larva of locust
蝹,yūn,
蟿,qì,acrida chinensis
衼,zhī,
褦,nài,"stupid, dull, ignorant, doltish; (Cant.) to tie up, bind"
襶,dài,ignorant; naive; unsophisticated
覐,jué,"to sleep; to realize, feel"
詯,huì,
誴,cóng,
諓,jiàn,flattering
謧,lí,
謪,shāng,to consult; to deliberate; commerce
譁,huá,"noise, uproar; clamor, hubbub"
貤,yí,"steps, grade, strata; series"
赪,chēng,deep red
踖,jí,"trample on, tread on"
軆,tǐ,"body; group, class, body, unit"
輈,zhōu,shaft
鄛,cháo,
鄡,qiāo,
醖,yùn,liquor
屺,qǐ,a hill with trees or grass-- some give the opposite meaning
鍑,fù,
鏉,shòu,
雊,gòu,the crow of a male pheasant
顓,zhuān,"good, honest; simple; respectful"
飐,zhǎn,sway in wind
稆,lǚ,wild grain
駳,dàn,
騽,xí,
骍,xīng,"red, brown, bay; neat, harmonious"
筻,gàng,place name in Hunan province
魱,hú,
舣,yǐ,to moor a boat to the bank
鮾,něi,
鯋,shā,shark
鯏,li,dialect name for a (bad tasting) blood clam
鶃,yì,hawk; Ardea cinerea
鶫,dong,thrush; Turdus naumanni
齛,xiè,
矙,kàn,view
絾,chéng,
袗,zhěn,unlined garments; hem of garment
襬,bǎi,lower part of a robe
漤,lǎn,marinate in salt
闕,què,watch tower; palace
鬐,qí,
鲾,bī,
鴾,móu,a crested ibis
稭,jiē,"stalk of grain, rice, corn, hemp"
籄,kuì,a basket for carrying earth
聺,qié,
褹,yì,
訟,sòng,"accuse; argue, dispute; litigate"
鏕,lù,
齆,wèng,stuffed nose
盫,ān,
矎,xuān,
礋,zé,
窌,jiào,"pit, vault; store in pit"
簼,lóng,
糴,dí,purchase grains; store grain
纴,rèn,"weave, lay warp"
罵,mà,"accuse, blame, curse, scold"
翚,huī,
耰,yōu,toothless rake for drawing earth over newly sown grain
艧,huò,
藇,xù,fine
虖,hū,to cry; to shout; to howl
蚖,yuán,
蜎,yuān,mosquito larva
蜨,dié,butterfly
蠭,fēng,"bees, hornets, wasps"
詟,zhé,fear; envy; loquacious
詵,shēn,"inquire, question; numerous"
譔,zhuàn,"eulogize; compose, write"
豭,jiā,"boar, male pig"
趙,zhào,surname; ancient state
趬,qiāo,
阢,wù,
圊,qīng,rest room
醃,yān,"marinate, pickle; salt"
録,lù,copy
鍮,tōu,brass
鍸,hú,"food, gruel"
闚,kuī,flash; flashing; steal look
阤,zhì,hill
霫,xí,heavy rain
鞎,hén,
韗,yùn,
鬖,sān,wild hair
鳠,hù,
鴼,luò,
鷇,kòu,"chicks, fledglings"
黇,tiān,
黡,yǎn,"mole, scar, blemish"
齣,chū,"act; stanza; time, occasion"
盞,zhǎn,"small cup or container; classifier for lamps, etc."
眅,pān,inlay; border
磈,wěi,
磳,zēng,
穫,huò,"harvest, cut grain"
窅,yǎo,"far, deep; sunken eyes; sad"
窾,kuǎn,hole; hallow; empty
筭,suàn,"an ancient device for working with numbers; count, calculate, figure"
箣,cè,
簃,yí,side room
簺,sài,
粴,lǐ,
糦,xī,
絟,quán,
緺,guā,
縩,cài,
罍,léi,large earthenware wine jar
翣,shà,feathers used decorate coffin; large wooden fan
聟,xù,son-in-law; husband
肊,yì,
肙,yuàn,a small worm; to twist; to surround; empty
肞,chā,
臞,qú,
苶,nié,weary; tired
菭,tái,
葖,tū,
蕳,jiān,agueweed
蚒,tóng,"(Cant.) an edible snake, lizard"
蜪,táo,
蝕,shí,nibble away; erode; eclipse
蠜,fán,grasshopper
袕,xué,
裋,shù,cotton clothes of a boy servant
裩,kūn,
褌,kūn,"trousers, pants, shorts, drawers"
褎,xiù,sleeve; ample flowing robes
襫,shì,raincoat
覈,hé,"investigate, consider, examine"
觭,jī,one turning up and one turning down
訆,jiào,
訏,xū,"boast, exaggerate; great, broad"
訽,gòu,blame
詨,xiào,"kind of cicada, cosmopsaltria"
譻,yīng,
诇,xiòng,to spy; to give information; shrewd
貑,jiā,
跱,zhì,stop
坶,mǔ,
躘,lóng,to walk
輖,zhōu,
轇,jiāo,"complicated, confused; dispute"
轋,hún,
轕,gé,great array of spears and chariots
迒,háng,
郘,lǘ,
醄,táo,
醼,yàn,
鋋,chán,
鏁,suǒ,"variant of 鎖 U+9396, a lock, padlock; shackles, chains"
鏭,xī,
鐄,huáng,bell
鑣,biāo,"bit, bridle; ride"
鑷,niè,"tweezers, forceps, pincers"
辁,quán,cart wheel with no spokes
阸,è,distress; difficulty
牿,gù,
鞝,shàng,the piece of leather used for soles on Chinese shoes. a patch
頞,è,(nose) bridge
瞵,lín,to stare at
饤,dìng,display food for show only; sacrifice
駃,jué,gallop
駉,jiōng,big
騠,tí,"a horse, mule"
驡,lóng,
髪,fà,hair
鬚,xū,"beard, whiskers; whisker-like"
鬿,qí,
鮌,gǔn,
鯁,gěng,"fish bones; honest, upright"
鱻,xiān,"fresh, new, delicious; rare, few"
鶚,è,"osprey, fishhawk; Pandion haliaetus"
鷫,sù,turquoise kingfisher
鹖,hé,"crossbill, species of nightingale"
磩,qì,
磭,chuò,
稌,tú,glutinous rice
穃,rong,
綂,tǒng,"govern, command, control; unite"
膥,chūn,(Cant.) eggs of birds or reptiles; testicles
膱,zhí,
臿,chā,to separate the grain from the husk
艎,huáng,fast boat
苃,yǒu,
茍,jì,"to be circumspect, cautious in ones behaviour (distinguish DKW 30790 gou3)"
蒟,jǔ,betel pepper; Amorphophallus konjac
藣,bēi,
虈,xiāo,
蜐,jié,
訅,qiú,
詭,guǐ,"deceive, cheat, defraud; sly"
讈,lì,
貿,mào,"trade, barter; mixed; rashly"
趷,kē,to jolt; (Cant.) to raise up; block
蹌,qiāng,walk rapidly
蹹,tá,to tread on; to stamp; to walk
鈰,shì,cerium
銑,xiǎn,mill
鋫,lí,
鍔,è,"high, lofty; edge of knife"
鐨,fèi,fermium
餉,xiǎng,rations and pay for soldiers
騛,fēi,
鯛,diāo,"pagrosomus major, porgy"
鰤,shī,a yellowtail (fish)
鳳,fèng,male phoenix; symbol of joy
鵂,xiū,"horned owl, scops chinensis; bird of ill omen"
鶢,yuán,a bird which frequents the sea-shore
鶳,shī,
黋,kuàng,
齢,líng,age; years
磚,zhuān,"tile, brick"
緲,miǎo,"indistinct, dim; minute; distant"
繳,jiǎo,"deliver, submit; hand over"
聝,guó,to cut the left ears of the slain
膴,hū,fine
芵,jué,
藫,tán,
覓,mì,seek; search
誕,dàn,"to bear children, give birth; birth"
誡,jiè,"warn, admonish; warning"
貎,ní,lion; wild beast; wild horse
賄,huì,"bribe; bribes; riches, wealth"
跰,pián,
踥,qiè,
迆,yí,wind; walk out of straight path
逕,jìng,"pass by, approach; direct"
逤,suò,
鏢,biāo,"dart, spear, harpoon; escort"
鏤,lòu,"carve, inlay, engrave, tattoo"
鑄,zhù,"melt, cast; coin, mint"
鑽,zuān,"drill, bore; pierce; diamond"
頷,hàn,"chin, jowl; give nod"
鴉,yā,"crow, raven; Corvus species (various)"
鴰,guā,the crow
麅,páo,a small spotted deer found in north China
礱,lóng,"grind, sharpen; mill"
祿,lù,"blessing, happiness, prosperity"
缷,xiè,lay down; retire from office
虙,fú,
齗,yín,gums (of the teeth); to dispute
裓,gé,
铹,láo,lawrencium (Lr)
睙,liè,
矟,shuò,lance
硣,xiāo,
磹,tán,
礀,jian,
禮,lǐ,social custom; manners; courtesy; rites
秶,zī,
窇,báo,
竷,kǎn,
笣,bāo,
篃,mèi,
簬,lù,
簯,qi,
粓,gān,
粶,lù,
紋,wén,"line, streak, stripe; wrinkle"
紓,shū,"loosen, relax, relieve; extricate"
絞,jiǎo,"twist, wring; intertwine; winch"
緹,tí,"reddish color, red, brown"
縷,lǚ,"thread; detailed, precise"
縼,xuàn,
繆,móu,"wind around, bind; prepare"
繕,shàn,"repair, mend; rewrite, transcribe"
繚,liáo,"wind round, rap around, bind"
繞,rào,entwine; wind around; surround
绤,xì,cloth
罆,guàn,"jar, jug, pitcher, pot"
羈,jī,"halter; restrain, hold, control"
翆,cuì,color green; kingfisher
翑,qú,
聵,kuì,deaf
脵,gǔ,"thighs, haunches, rump; share"
臄,jué,palate
茽,zhòng,
莊,zhuāng,"village, hamlet; villa; surname"
莢,jiá,pods of leguminous plants; pods
莵,tu,dodder; creeper
菕,lún,
蓛,cè,
蓷,tuī,"motherwort, various plants of the genus Leonurus, such as L. sibiricus and L. artemesia"
蓸,cáo,
蔘,shēn,ginseng; huge
蔞,lóu,Artemisia stelleriana
蕘,ráo,"fuel, firewood; stubble"
蕼,sì,
薔,qiáng,rose
藖,xián,
藢,zhǐ,
藶,lì,a kind of plant
蛢,píng,
蟯,náo,worms
蠄,qín,"(Cant.) 蠄蟧, a spider; 蠄蟝, a toad"
蠈,zéi,
蠎,mǎng,"python, boa constrictor"
蠣,lì,oyster
襪,wà,"socks, stockings"
覙,luó,explain in detail
訑,yí,"deceive, cheat; arrogant"
訣,jué,"take leave of, bid farewell"
詰,jié,"question, interrogate"
詸,mí,
誰,shuí,who? whom? whose? anyone?
諏,zōu,"consult, confer; select, choose"
諛,yú,"flatter, truckle"
諮,zī,"consult, confer; communicate in"
諱,huì,conceal; shun; regard as taboo
謥,còng,
謨,mó,"scheme, plan; plan; be without"
譫,zhān,talkative; incoherent talk
貋,hàn,
貛,huān,badger
貫,guàn,a string of 1000 coins; to go through
賓,bīn,"guest, visitor; surname; submit"
賞,shǎng,"reward, grant, bestow; appreciate"
贁,bài,to defeat to spoil or be spoiled; to corrupt or be corrupted
贂,chěn,
贉,dàn,earnest money; silk label on books
趤,dàng,
趯,tì,jump
趶,kù,
跔,jū,numb feet; to limp
踴,yǒng,"leap, jump"
蹆,tuǐ,(Cant.) to move in a straight line
塥,gé,
輝,huī,"brightness, luster, brilliance"
輰,yáng,
輿,yú,"cart, palanquin; public opinion"
轂,gǔ,hub of wheel
邁,mài,take a big stride; pass by
邼,kuāng,
釟,bā,
釠,luàn,
釣,diào,"fish; fishhook; tempt, lure"
鈉,nà,"sodium, natrium; sharpen wood"
鈴,líng,bell
鈺,yù,rare treasure
鉂,shǐ,
銊,xù,
銘,míng,"inscribe, engrave; unforgettably"
鋤,chú,hoe; eradicate
鋭,ruì,sharp
錃,bēi,
錈,juǎn,to bend iron
漭,mǎng,vast; expansive
錨,máo,anchor
鍤,chā,"spade, shovel; marking pin"
鏆,guàn,
鐖,jī,
鐧,jiān,kind of rapier
鐳,léi,radium
鑱,chán,"spade, trowel"
鑾,luán,bells hung on horse; bells hung
镃,zī,hoe; mattock
閬,làng,"high door; high gate; high, lofty"
閾,yù,"threshold; separated, confined"
閿,wén,name of a district in Henan province
陜,xiá,narrow; mountain pass
陝,shǎn,mountain pass; Shaanxi province
霠,yīn,
鞏,gǒng,"bind; firm, secure, strong"
鞖,suī,
韨,fú,a leather knee-pad worn during sacrifices
韼,péng,
韽,ān,
頒,bān,"confer, bestow; publish, promulgate"
頤,yí,cheeks; jaw; chin; rear; to nourish
顛,diān,"top, peak, summit; upset"
飳,tǒu,
飸,tāo,
餆,yáo,
館,guǎn,public building
饅,mán,steamed bread; steamed dumplings
駐,zhù,"to be stationed at, reside at; to stop"
駡,mà,"accuse, blame, curse, scold"
駷,sǒng,
騁,chěng,"gallop horse; hasten, hurry"
騫,qiān,"raise, hold high; fly, soar"
騷,sāo,"harass, bother, annoy, disturb, agitate; sad, grieved"
騼,lù,
髕,bìn,kneecap
魜,rén,mermaid; manatee
鰫,yóng,
鱗,lín,fish scales
鱽,dāo,the mullet
鲬,yǒng,a flathead (fish)
鴻,hóng,species of wild swan; vast
鶆,lái,
鶊,gēng,oriole
鷳,xián,"the silver pheasant, Lophura nycthemera"
鷿,pì,a kind of bird resembling the duck; much smaller
鸁,luó,
麞,zhāng,"roebuck, Moschus chinloo"
鼏,mì,cover of tripod caldron
鼜,qì,
鼫,shí,marmot; squirrel
齦,kěn,gums
䦂,shàn,"(simplified form of 䥇) sarmarium (Sm); old ideograph for 鋱, terbium (Tb); (same as 釤) a sickle with a long handle, to swing a sickle to cut (grass or wheat)"
䲟,yìn,"(simplified form of 鮣) a kind of fish, live in the ocean, dark brown color with two white vertical marks; flat shaped head"
䴓,shī,general term for a group of small birds
䴕,liè,a woodpecker
䶮,yǎn,
盬,gǔ,salt pit; leisure; pot; drink
祅,yāo,"calamities, disasters; ormazda"
禡,mà,a sacrifice at the beginning of a military campaign or on the 2nd and 16th day of the lunar month
禭,suì,
糱,niè,fermenting grain; yeast
縂,zǒng,"collect; overall, altogether"
蠥,niè,
軷,bá,sacrifice
鄮,mào,
釱,dì,fetters; to fetter
銦,yīn,indium
錣,zhuì,armor neckplates
鑢,lǜ,"file, rasp; file; polish; (Cant.) to cut"
钑,jí,spear
